Core: fpga_mem_mem_if_ddr3_emif_0_p0 - Instance: u1|mem_if_ddr3_emif_0
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.292,0.875
"Bus Turnaround Time (Slow 1100mV 85C Model)",8.315,--
"Core (Slow 1100mV 85C Model)",-0.531,0.234
"Core Recovery/Removal (Slow 1100mV 85C Model)",1.053,0.559
"DQS vs CK (Slow 1100mV 85C Model)",0.721,0.747
"Postamble (Slow 1100mV 85C Model)",0.397,0.397
"Read Capture (Slow 1100mV 85C Model)",0.309,0.262
"Write (Slow 1100mV 85C Model)",0.414,0.414
"Address Command (Slow 1100mV 0C Model)",0.326,0.861
"Bus Turnaround Time (Slow 1100mV 0C Model)",8.427,--
"Core (Slow 1100mV 0C Model)",-0.628,0.257
"Core Recovery/Removal (Slow 1100mV 0C Model)",1.059,0.515
"DQS vs CK (Slow 1100mV 0C Model)",0.731,0.773
"Postamble (Slow 1100mV 0C Model)",0.347,0.347
"Read Capture (Slow 1100mV 0C Model)",0.322,0.275
"Write (Slow 1100mV 0C Model)",0.423,0.423
"Address Command (Fast 1100mV 85C Model)",0.823,0.871
"Bus Turnaround Time (Fast 1100mV 85C Model)",8.791,--
"Core (Fast 1100mV 85C Model)",1.823,0.156
"Core Recovery/Removal (Fast 1100mV 85C Model)",2.837,0.291
"DQS vs CK (Fast 1100mV 85C Model)",0.816,0.873
"Postamble (Fast 1100mV 85C Model)",0.264,0.264
"Read Capture (Fast 1100mV 85C Model)",0.444,0.396
"Write (Fast 1100mV 85C Model)",0.482,0.482
"Address Command (Fast 1100mV 0C Model)",0.81,0.888
"Bus Turnaround Time (Fast 1100mV 0C Model)",8.822,--
"Core (Fast 1100mV 0C Model)",1.847,0.142
"Core Recovery/Removal (Fast 1100mV 0C Model)",3.126,0.266
"DQS vs CK (Fast 1100mV 0C Model)",0.805,0.89
"Postamble (Fast 1100mV 0C Model)",0.282,0.282
"Read Capture (Fast 1100mV 0C Model)",0.445,0.398
"Write (Fast 1100mV 0C Model)",0.492,0.492
