Core: hps_sdram_p0 - Instance: u0|hps_0|hps_io|border|hps_sdram_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.9,0.88
"Bus Turnaround Time (Slow 1100mV 85C Model)",2.108,--
"Core (Slow 1100mV 85C Model)",1.73,0.143
"Core Recovery/Removal (Slow 1100mV 85C Model)",3.375,0.47
"DQS vs CK (Slow 1100mV 85C Model)",0.593,0.45
"Postamble (Slow 1100mV 85C Model)",0.439,0.439
"Read Capture (Slow 1100mV 85C Model)",0.136,0.089
"Write (Slow 1100mV 85C Model)",0.217,0.217
"Address Command (Slow 1100mV 0C Model)",0.929,0.852
"Bus Turnaround Time (Slow 1100mV 0C Model)",2.135,--
"Core (Slow 1100mV 0C Model)",1.727,0.162
"Core Recovery/Removal (Slow 1100mV 0C Model)",3.468,0.46
"DQS vs CK (Slow 1100mV 0C Model)",0.599,0.489
"Postamble (Slow 1100mV 0C Model)",0.431,0.431
"Read Capture (Slow 1100mV 0C Model)",0.152,0.105
"Write (Slow 1100mV 0C Model)",0.229,0.229
"Address Command (Fast 1100mV 85C Model)",1.099,0.788
"Bus Turnaround Time (Fast 1100mV 85C Model)",2.244,--
"Core (Fast 1100mV 85C Model)",2.11,0.084
"Core Recovery/Removal (Fast 1100mV 85C Model)",3.727,0.497
"DQS vs CK (Fast 1100mV 85C Model)",0.656,0.586
"Postamble (Fast 1100mV 85C Model)",0.524,0.524
"Read Capture (Fast 1100mV 85C Model)",0.275,0.227
"Write (Fast 1100mV 85C Model)",0.286,0.286
"Address Command (Fast 1100mV 0C Model)",1.136,0.786
"Bus Turnaround Time (Fast 1100mV 0C Model)",2.257,--
"Core (Fast 1100mV 0C Model)",2.11,0.077
"Core Recovery/Removal (Fast 1100mV 0C Model)",3.825,0.473
"DQS vs CK (Fast 1100mV 0C Model)",0.653,0.614
"Postamble (Fast 1100mV 0C Model)",0.531,0.531
"Read Capture (Fast 1100mV 0C Model)",0.275,0.227
"Write (Fast 1100mV 0C Model)",0.3,0.3
