Core: fpga_mem_mem_if_ddr3_emif_0_p0 - Instance: u1|mem_if_ddr3_emif_0
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",1.04,0.981
"Bus Turnaround Time (Slow 1100mV 85C Model)",3.802,--
"Core (Slow 1100mV 85C Model)",-1.018,0.197
"Core Recovery/Removal (Slow 1100mV 85C Model)",-10.239,0.551
"DQS vs CK (Slow 1100mV 85C Model)",0.335,0.297
"Postamble (Slow 1100mV 85C Model)",0.159,0.159
"Read Capture (Slow 1100mV 85C Model)",0.123,0.075
"Write (Slow 1100mV 85C Model)",0.206,0.206
"Address Command (Slow 1100mV 0C Model)",1.057,0.949
"Bus Turnaround Time (Slow 1100mV 0C Model)",3.842,--
"Core (Slow 1100mV 0C Model)",-0.829,0.23
"Core Recovery/Removal (Slow 1100mV 0C Model)",-10.099,0.51
"DQS vs CK (Slow 1100mV 0C Model)",0.341,0.327
"Postamble (Slow 1100mV 0C Model)",0.117,0.117
"Read Capture (Slow 1100mV 0C Model)",0.135,0.088
"Write (Slow 1100mV 0C Model)",0.215,0.215
"Address Command (Fast 1100mV 85C Model)",1.262,0.876
"Bus Turnaround Time (Fast 1100mV 85C Model)",4.066,--
"Core (Fast 1100mV 85C Model)",1.29,0.156
"Core Recovery/Removal (Fast 1100mV 85C Model)",-5.318,0.288
"DQS vs CK (Fast 1100mV 85C Model)",0.424,0.431
"Postamble (Fast 1100mV 85C Model)",0.076,0.076
"Read Capture (Fast 1100mV 85C Model)",0.257,0.21
"Write (Fast 1100mV 85C Model)",0.274,0.274
"Address Command (Fast 1100mV 0C Model)",1.286,0.861
"Bus Turnaround Time (Fast 1100mV 0C Model)",4.068,--
"Core (Fast 1100mV 0C Model)",1.563,0.142
"Core Recovery/Removal (Fast 1100mV 0C Model)",-5.15,0.26
"DQS vs CK (Fast 1100mV 0C Model)",0.409,0.452
"Postamble (Fast 1100mV 0C Model)",0.093,0.093
"Read Capture (Fast 1100mV 0C Model)",0.259,0.211
"Write (Fast 1100mV 0C Model)",0.284,0.284
